TIME,value
2014/3/31 16:34,1.302
2014/3/31 17:38,1.643
2014/3/31 18:42,1.387
2014/3/31 19:46,1.561
2014/3/31 20:51,1.265
2014/3/31 21:55,1.523
2014/4/1 0:03,1.541
2014/4/1 1:07,1.942
2014/4/1 2:11,1.637
2014/4/1 3:16,1.217
2014/4/1 4:20,1.202
2014/4/1 5:24,1.704
2014/4/1 6:28,1.099
2014/4/1 7:32,1.013
2014/4/1 8:36,0.863
2014/4/1 10:45,0.772
2014/4/1 11:49,0.856
2014/4/1 12:53,1.033
2014/4/1 13:57,1.273
2014/4/1 15:01,1.336
2014/4/1 16:05,1.493
2014/4/1 17:10,1.53
2014/4/1 18:14,1.768
2014/4/1 19:18,1.601
2014/4/1 20:22,1.841
2014/4/1 21:26,1.798
2014/4/1 22:30,1.919
2014/4/1 23:35,1.445
2014/4/2 0:39,1.44
2014/4/2 1:43,1.375
2014/4/2 2:47,1.478
2014/4/2 3:51,1.511
2014/4/2 4:55,1.499
2014/4/2 6:00,1.466
2014/4/2 7:04,1.396
2014/4/2 8:08,1.31
2014/4/2 9:12,1.122
2014/4/2 10:16,1.033
2014/4/2 11:20,0.853
2014/4/2 12:24,0.834
2014/4/2 13:29,0.862
2014/4/2 14:33,1.357
2014/4/2 15:37,1.459
2014/4/2 16:41,1.67
2014/4/2 17:45,1.676
2014/4/2 18:49,1.643
2014/4/2 19:54,1.679
2014/4/2 20:58,1.558
2014/4/2 22:02,2.03
2014/4/3 0:10,1.466
2014/4/3 1:14,1.414
2014/4/3 2:19,1.378
2014/4/3 3:23,1.46
2014/4/3 4:27,1.451
2014/4/3 5:31,1.925
2014/4/3 6:35,1.627
2014/4/3 7:39,1.542
2014/4/3 8:44,1.532
2014/4/3 9:48,1.641
2014/4/3 10:52,1.56
2014/4/3 11:56,1.589
2014/4/3 13:00,1.585
2014/4/3 14:04,1.636
2014/4/3 15:08,1.768
2014/4/3 16:13,1.834
2014/4/3 17:17,2.206
2014/4/3 18:21,2.048
2014/4/3 19:25,2.27
2014/4/3 20:29,2.14
2014/4/3 21:33,1.942
2014/4/3 23:42,1.67
2014/4/4 0:46,1.843
2014/4/4 1:50,1.822
2014/4/4 2:54,1.928
2014/4/4 3:58,1.904
2014/4/4 5:03,1.858
2014/4/4 6:07,1.649
2014/4/4 7:11,1.522
2014/4/4 8:15,1.399
2014/4/4 9:19,1.338
2014/4/4 10:23,1.535
2014/4/4 11:28,1.584
2014/4/4 12:32,1.648
2014/4/4 13:36,1.263
2014/4/4 14:40,1.676
2014/4/4 15:44,1.823
2014/4/4 16:48,1.949
2014/4/4 17:52,2.258
2014/4/4 18:57,1.768
2014/4/4 20:01,2.005
2014/4/4 21:05,1.942
2014/4/4 22:09,1.722
2014/4/5 0:17,1.75
2014/4/5 1:22,1.855
2014/4/5 2:26,1.927
2014/4/5 3:30,1.853
2014/4/5 4:34,1.619
2014/4/5 5:38,1.537
2014/4/5 6:42,1.538
2014/4/5 7:47,1.413
2014/4/5 8:51,1.81
2014/4/5 9:55,1.501
2014/4/5 11:00,1.823
2014/4/5 12:03,1.705
2014/4/5 13:07,1.787
2014/4/5 14:12,1.74
2014/4/5 15:16,1.757
2014/4/5 16:20,1.9
2014/4/5 17:24,1.931
2014/4/5 18:28,2.05
2014/4/5 19:32,2.021
2014/4/5 20:36,1.943
2014/4/5 21:41,1.809
2014/4/5 23:49,2.077
2014/4/6 0:53,2.075
2014/4/6 1:57,2.035
2014/4/6 3:01,2.122
2014/4/6 4:06,1.841
2014/4/6 5:10,1.901
2014/4/6 6:14,1.772
2014/4/6 7:18,1.736
2014/4/6 8:22,1.904
2014/4/6 9:26,2.3
2014/4/6 10:31,1.784
2014/4/6 11:35,1.445
2014/4/6 12:39,1.741
2014/4/6 13:43,1.904
2014/4/6 14:47,2.06
2014/4/6 15:51,1.847
2014/4/6 16:56,2.483
2014/4/6 18:00,2.545
2014/4/6 19:04,2.302
2014/4/6 20:08,2.013
2014/4/6 21:12,2.173
2014/4/6 22:16,2.214
2014/4/7 0:25,1.958
2014/4/7 1:29,1.939
2014/4/7 2:33,1.89
2014/4/7 3:37,2.022
2014/4/7 4:41,1.963
2014/4/7 5:45,1.853
2014/4/7 6:50,2.008
2014/4/7 7:54,1.891
2014/4/7 8:58,1.475
2014/4/7 10:02,1.349
2014/4/7 11:06,1.39
2014/4/7 13:15,1.306
2014/4/7 14:19,1.35
2014/4/7 15:23,1.535
2014/4/7 16:27,1.892
2014/4/7 17:31,1.903
2014/4/7 18:35,2.062
2014/4/7 19:40,2.174
2014/4/7 20:44,2.146
2014/4/7 21:48,2.145
2014/4/7 23:56,2.089
2014/4/8 1:00,2.153
2014/4/8 2:04,2.135
2014/4/8 3:09,2.23
2014/4/8 4:13,2.446
2014/4/8 5:17,2.276
2014/4/8 6:21,1.733
2014/4/8 7:25,1.774
2014/4/8 8:29,1.343
2014/4/8 9:34,1.153
2014/4/8 10:38,1.175
2014/4/8 12:46,1.103
2014/4/8 13:50,1.062
2014/4/8 14:54,1.518
2014/4/8 16:00,1.738
2014/4/8 17:03,1.836
2014/4/8 18:07,2.017
2014/4/8 19:11,1.887
2014/4/8 20:15,1.954
2014/4/8 21:19,1.727
2014/4/8 22:24,1.619
2014/4/8 23:28,1.542
2014/4/9 1:36,1.959
2014/4/9 2:40,2.057
2014/4/9 4:49,2.081
2014/4/9 6:57,1.811
2014/4/9 8:01,1.357
2014/4/10 0:03,2.268
2014/4/10 1:08,1.944
2014/4/10 2:12,1.586
2014/4/10 3:16,1.597
2014/4/10 4:20,1.525
